penalty,0.01,0.03,0.035,0.04,0.045,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.19
(Intercept),3.04344234129543,3.03687966706903,3.03634969234162,3.03487176562545,3.03185234707397,3.02890264886646,3.01761537612318,3.00732145627198,2.99639881581276,2.97941398828884,2.96814753913691,2.95980696257463,2.95146638601235
age1,0.005542963187947,0.122483006074908,0.137422719314333,0.144969057068667,0.145101590527708,0.140685433637264,0.082380979285181,0,0,0,0,0,0
age2,1.38826855074893,0.997850038146535,0.904274032902225,0.811312561630588,0.718119317580969,0.625934208032095,0.266851795382461,0,0,0,0,0,0
age3,0.810214878349839,0.602485528891429,0.549636221528105,0.493647446421333,0.434610545900047,0.376722162992123,0.156826298026448,0,0,0,0,0,0
lwt1,1.6682072024189,1.17170083220698,1.05642647046087,0.947840143071348,0.845939231920777,0.746845875740907,0.3742824156718,0.034150980357292,0,0,0,0,0
lwt2,-0.017991391883444,-0.133623213675168,-0.149003372850339,-0.157590188178188,-0.159960153361325,-0.158426730309976,-0.11367415404198,-0.013425812763613,0,0,0,0,0
lwt3,1.21860903718067,0.888357004538595,0.806798364021662,0.729244262704654,0.655883030755962,0.582840535976372,0.296915170854416,0.027260740951255,0,0,0,0,0
white,0.273238009551945,0.230777593542522,0.220619602397896,0.209272060477592,0.196358173145785,0.183485877214841,0.132790446269825,0.081682154391236,0.02165458700253,0,0,0,0
black,-0.133742590131858,-0.091649577094512,-0.0826327585345,-0.074642572679458,-0.06763415833397,-0.061033548175019,-0.038246892538017,-0.020657913946086,-0.006430743718201,0,0,0,0
smoke,-0.263439903038282,-0.227698319731983,-0.219600717223228,-0.210146834136004,-0.198881285636071,-0.187795020622758,-0.145256147761647,-0.103975640545166,-0.053056593796263,-0.007722385031675,0,0,0
ptl1,-0.273648873224773,-0.226490662690041,-0.212933510343362,-0.199716358885172,-0.187181696567754,-0.174241389703081,-0.119031412873652,-0.059835546650718,-0.000428896393778,0,0,0,0
ptl2m,0.184030024200916,0.110519204785241,0.095635480552811,0.081659893596006,0.068657471930835,0.057001053825619,0.022352137653397,0.004427182274918,1.04454179477314E-05,0,0,0,0
ht,-0.510849589637403,-0.40149295297001,-0.375315864641155,-0.349336127890553,-0.323376879420084,-0.297742816711677,-0.198178726513858,-0.102340069820382,-0.022339373920054,0,0,0,0
ui,-0.458572575534265,-0.417369647259578,-0.408064423410616,-0.398822932391948,-0.389529875933628,-0.380494294260372,-0.346643892414999,-0.315334572507507,-0.267840211974059,-0.214670974794519,-0.159031603459889,-0.102732711664479,-0.046433819869069
ftv1,0.068848123781558,0.021108686024862,0.007649308666512,0,0,0,0,0,0,0,0,0,0
ftv2,0.021536478906532,0.008053681812299,0.003055385372535,0,0,0,0,0,0,0,0,0,0
ftv3m,-0.1159106196411,-0.026844487857006,-0.009055196561353,0,0,0,0,0,0,0,0,0,0
